common_name,scientific_name,mbta,federally_endangered,federally_threatened,bcc_rangewide_in_continental_us_and_or_pr_and_vi_or_hi_and_pacific_islands,bc_rs_for_bcc_listing_non_breeding,bc_rs_for_bcc_listing_breeding,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Common Nighthawk,Chordeiles minor,Y,NA,NA,No ‐ ssp. henryi and ssp. minor only,NA,"35 (ssp.henryi only), 28 (ssp. minor only)",2497035,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles minor,2497035
Common Tern,Sterna hirundo,Y,NA,NA,No,NA,12,9367409,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,9367409
Common Yellowthroat,Geothlypis trichas,Y,NA,NA,No ‐ ssp. sinuosa only,NA,32,2489670,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis trichas,2489670
Connecticut Warbler,Oporornis agilis,Y,NA,NA,Yes,NA,12,2489611,Animalia,Chordata,Aves,Passeriformes,Parulidae,Oporornis,Oporornis agilis,2489611
Cook's Petrel,Pterodroma cookii,Y,NA,NA,Yes,"M17, 102",NA,2481491,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma cookii,2481491
Cordilleran Flycatcher,Empidonax occidentalis,Y,NA,NA,No,NA,34,2482805,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax occidentalis,2482805
Cory's Shearwater,Calonectris diomedea,Y,NA,NA,Yes,"M18,M19,M20",NA,2481521,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,Calonectris diomedea,2481521
Costa's Hummingbird,Calypte costae,Y,NA,NA,No,NA,33,2476675,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,Calypte costae,2476675
Craveri's Murrelet,Synthliboramphus craveri,Y,NA,NA,Yes,M17,NA,2481348,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,Synthliboramphus craveri,2481348
Crested Caracara,Caracara plancus,Y,NA,"Florida population of ssp. audubonii
only",NA,NA,NA,2480989,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,Caracara plancus,2480989
Curve‐billed Thrasher,Toxostoma curvirostre,Y,NA,NA,No ‐ ssp. oberholseri and palmeri only,NA,36,5231688,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma curvirostre,5231688
Dickcissel,Spiza americana,Y,NA,NA,No,NA,37,2490363,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,Spiza americana,2490363
Dunlin,Calidris alpina,Y,NA,NA,No ‐ ssp. arcticola and hudsonia only,"11,12,13,22,23,27,30,31,37,2",3,2481759,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alpina,2481759
Eastern Meadowlark,Sturnella magna,Y,NA,NA,No,NA,"13,20,35,36",2484254,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,Sturnella magna,2484254
Eastern Whip‐poor‐will,Antrostomus vociferus,Y,NA,NA,Yes,NA,"11,12,13,14,22,23,24,25,26,27,28,29,3 0",6101178,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,Antrostomus vociferus,6101178
Elegant Tern,Thalasseus elegans,Y,NA,NA,Yes,NA,32,2481285,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus elegans,2481285
Elegant Trogon,Trogon elegans,Y,NA,NA,Yes,NA,34,9323342,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,Trogon elegans,9323342
Elfin‐woods Warbler,Setophaga angelae,Y,NA,Wherever found,NA,NA,NA,6093389,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga angelae,6093389
Eskimo Curlew,Numenius borealis,Y,Wherever found,NA,NA,NA,NA,2481783,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,2481783
Eurasian Moorhen,Gallinula chloropus,Y,Ssp. guami only ‐ wherever found,NA,NA,NA,NA,5228199,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula chloropus,5228199
Evening Grosbeak,Coccothraustes vespertinus,Y,NA,NA,Yes,NA,"5,9,10,12,13,14,15,16,34,35",2494321,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hesperiphona,Hesperiphona vespertina,2494324
Fea's Petrel,Pterodroma feae,Y,NA,NA,Yes,"M18,M19",NA,2481473,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma feae,2481473
Ferruginous Hawk,Buteo regalis,Y,NA,NA,No,NA,"17,18,35",2480566,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,2480566
