taxon_id,gbif_taxonID,scientific_name,common_name,s_rank_1,n_rank_2,federal_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
2435996,2435996,Sorex preblei,Preble's Shrew,S2,N4,NA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex preblei,NA,NA
2436688,2436688,Brachylagus idahoensis,Pygmy Rabbit,S3,N4,NA,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Brachylagus,Brachylagus idahoensis,NA,NA
2432579,2432579,Euderma maculatum,Spotted Bat,S3,N3/N4,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Euderma,Euderma maculatum,NA,NA
2432479,2432479,Corynorhinus townsendii,Townsend's Big-eared Bat,S4,N3/N4,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,NA,NA
2437235,2437235,Cynomys parvidens,Utah Prairie Dog,S2,N1,Threatened,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys parvidens,NA,NA
5218548,5218548,Lasiurus blossevillii,Western Red Bat,SU,N3/N4,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus blossevillii,NA,NA
2437233,2437233,Cynomys leucurus,White-tailed Prairie Dog,S3,N4,NA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys leucurus,NA,NA
5219073,5219073,Gulo gulo,Wolverine,S2,N4,NA,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,Gulo gulo,NA,NA
2432461,2432461,Myotis yumanensis,Yuma Myotis,S3,N4/N5,NA,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis yumanensis,NA,NA
10054988,10054988,Oreohelix yavapai cummingsi,Yavapai Mountainsnail,S1,N3,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,Oreohelix,Oreohelix yavapai,Oreohelix yavapai cummingsi,NA
10154500,5189882,Fossaria techella,Fossaria,SH,N3/N4,NA,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Galba,Galba techella,NA,NA
2300006,2300006,Pyrgulopsis pilsbryana,Bear Lake Springsnail,S1,N2,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis pilsbryana,NA,NA
9110250,9110250,Pyrgulopsis peculiaris,Bifid Duct Pyrg,S1,N2,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis peculiaris,NA,NA
8821459,8821459,Pyrgulopsis plicata,Black Canyon Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis plicata,NA,NA
2293903,2293903,Oreohelix parawanensis,Brian Head Mountainsnail,S1,N1,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,Oreohelix,Oreohelix parawanensis,NA,NA
9061728,9061728,Pyrgulopsis inopinata,Carinate Glenwood Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis inopinata,NA,NA
11317631,11317631,Physa megalochlamys,Cloaked Physa,S1?,N3,NA,Animalia,Mollusca,Gastropoda,NA,Physidae,Physa,Physa megalochlamys,NA,NA
5189753,5189753,Planorbella binneyi,Coarse Rams-horn,SH,N3/N4,NA,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Planorbella,Planorbella binneyi,NA,NA
2294035,2294035,Gastrocopta quadridens,Cross Snaggletooth,SH,N2/N3,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Gastrocoptidae,Gastrocopta,Gastrocopta quadridens,NA,NA
2293939,2293939,Oreohelix peripherica,Deseret Mountainsnail,S2,N2,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,Oreohelix,Oreohelix peripherica,NA,NA
2299993,2299993,Pyrgulopsis deserta,Desert Springsnail,SH,N2,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis deserta,NA,NA
8992635,8992635,Tryonia porrecta,Desert Tryonia,S2?,N2,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cochliopidae,Tryonia,Tryonia porrecta,NA,NA
2293921,2293921,Oreohelix eurekensis,Eureka Mountainsnail,S1,N1,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,Oreohelix,Oreohelix eurekensis,NA,NA
7990253,5189892,Stagnicola bonnevillensis,Fat-whorled Pondsnail,S3,N1,NA,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Ladislavella,Ladislavella bonnevillensis,NA,NA
5192428,5192428,Fluminicola coloradoensis,Green River Pebblesnail,S2/S3,N2/N3,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,Fluminicola coloradoensis,NA,NA
8788114,8788114,Pyrgulopsis hamlinensis,Hamlin Valley Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis hamlinensis,NA,NA
5191192,5191192,Oxyloma kanabense,Kanab Ambersnail,S1,N1,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Succineidae,Oxyloma,Oxyloma kanabense,NA,NA
5189736,5189736,Planorbella oregonensis,Lamb Rams-horn,SH,N1,NA,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Planorbella,Planorbella oregonensis,NA,NA
9557711,9557711,Pyrgulopsis lindahlae,Lindahl's Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis lindahlae,NA,NA
9056414,9056414,Pyrgulopsis anguina,Longitudinal Gland Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis anguina,NA,NA
2293937,2293937,Oreohelix haydeni,Lyrate Mountainsnail,S2,N2/N3,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,Oreohelix,Oreohelix haydeni,NA,NA
2293940,2293940,Oreohelix howardi,Mill Creek Mountainsnail,SH,N1,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,Oreohelix,Oreohelix howardi,NA,NA
2293975,2293995,Vertigo concinnula,Mitered Vertigo,SH,N4,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Vertiginidae,Vertigo,Vertigo modesta,NA,NA
2294022,2294022,Gastrocopta pilsbryana,Montane Snaggletooth,SH,N4/N5,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Gastrocoptidae,Gastrocopta,Gastrocopta pilsbryana,NA,NA
8402525,5189908,Stagnicola montanensis,Mountain Marshsnail,SH,N3,NA,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Walterigalba,Walterigalba montanensis,NA,NA
8906127,8906127,Pyrgulopsis variegata,Northwest Bonneville Pyrg,S1,N2,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis variegata,NA,NA
9250031,9250031,Pyrgulopsis nuwuvi,Nuwuvi Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis nuwuvi,NA,NA
9145147,9145147,Pyrgulopsis fusca,Otter Creek Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis fusca,NA,NA
7399208,7399208,Pyrgulopsis pinetorum,Pine Grove Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis pinetorum,NA,NA
2294048,2294048,Pupoides hordaceus,Ribbed Dagger,SH,N4,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Pupillidae,Pupoides,Pupoides hordaceus,NA,NA
8025320,8025320,Colligyrus greggi,Rocky Mountain Duskysnail,S1,N4,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Amnicolidae,Colligyrus,Colligyrus greggi,NA,NA
2297219,2297219,Succinea rusticana,Rustic Ambersnail,SH,N2/N3,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Succineidae,Succinea,Succinea rusticana,NA,NA
9372628,9372628,Pyrgulopsis santaclarensis,Santa Clara Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis santaclarensis,NA,NA
10253407,5191206,Catinella stretchiana,Sierra Ambersnail,SH,N3,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Succineidae,Mediappendix,Mediappendix stretchiana,NA,NA
2294032,2294032,Gastrocopta ashmuni,Sluice Snaggletooth,SH,N4/N5,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Gastrocoptidae,Gastrocopta,Gastrocopta ashmuni,NA,NA
8998004,8998004,Pyrgulopsis chamberlini,Smooth Glenwood Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis chamberlini,NA,NA
2295352,2295367,Ogaridiscus subrupicola,Southern Tightcoil,SH,N1,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Pristilomatidae,Pristiloma,Pristiloma subrupicola,NA,NA
5190762,5190762,Hawaiia neomexicana,Striate Gem,SH,N2,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Pristilomatidae,Hawaiia,Hawaiia neomexicana,NA,NA
9026807,9026807,Pyrgulopsis saxatilis,Sub-globose Snake Pyrg,S1,N1,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Pyrgulopsis,Pyrgulopsis saxatilis,NA,NA
2296012,2296012,Vallonia perspectiva,Thin-lip Vallonia,SH,N4/N5,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Valloniidae,Vallonia,Vallonia perspectiva,NA,NA
5190464,5190464,Pupilla syngenes,Top-heavy Column,S3/S4,N4,NA,Animalia,Mollusca,Gastropoda,Stylommatophora,Pupillidae,Pupilla,Pupilla syngenes,NA,NA
5189787,5189787,Physella utahensis,Utah Physa,S1,N2,NA,Animalia,Mollusca,Gastropoda,NA,Physidae,Physella,Physella utahensis,NA,NA
2287872,2287872,Margaritifera falcata,Western Pearlshell,S1,N4,NA,Animalia,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,Margaritifera falcata,NA,NA
5189816,5189816,Physella zionis,Wet-rock Physa,S1,N1,NA,Animalia,Mollusca,Gastropoda,NA,Physidae,Physella,Physella zionis,NA,NA
10474587,5189917,Stagnicola traski,Widelip Pondsnail,SH,N3,NA,Animalia,Mollusca,Gastropoda,NA,Lymnaeidae,Ladislavella,Ladislavella traskii,NA,NA
9696344,9696344,Anodonta nutalliana,Winged Floater,S2,N3/N4,NA,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Anodonta,Anodonta nuttalliana,NA,NA
3033315,3033315,Ranunculus aestivalis,Autumn Buttercup,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus aestivalis,NA,NA
5376581,5376581,Lepidium barnebyanum,Barneby Ridge-cress,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium barnebyanum,NA,NA
3047784,3047784,Hesperidanthus barnebyi,Barneby’s Reed Mustard,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Hesperidanthus,Hesperidanthus barnebyi,NA,NA
5346660,5346660,Astragalus sabulosus,Cisco Milkvetch,S1,N1,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus sabulosus,NA,NA
2928212,2928212,Phacelia argillacea,Clay Phacelia,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia argillacea,NA,NA
3047777,3047777,Hesperidanthus argillaceus,Clay Reed-mustard,S1,N1,Threatened,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Hesperidanthus,Hesperidanthus argillaceus,NA,NA
5344916,5344916,Astragalus desereticus,Deseret Milkvetch,S1,N1,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus desereticus,NA,NA
