group,scientific_name,common_name,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Mammals,Vulpes velox,Swift Fox,5219290,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,5219290
Mussels,Margaritifera falcata,Western Pearlshell,2287872,Animalia,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,Margaritifera falcata,2287872
Reptiles,Elgaria coerulea,Northern Alligator,2468254,Animalia,Chordata,Squamata,NA,Anguidae,Elgaria,Elgaria coerulea,2468254
Reptiles,Lampropeltis,Milksnake,9391215,Animalia,Chordata,Squamata,NA,Colubridae,Lampropeltis,NA,9391215
NA,triangulum,NA,12330282,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Triangulum,NA,12330282
Reptiles,Opheodrys vernalis,Smooth Greensnake,2458587,Animalia,Chordata,Squamata,NA,Colubridae,Opheodrys,Opheodrys vernalis,2458587
Reptiles,Heterodon nasicus,Western Hog-nosed,5223725,Animalia,Chordata,Squamata,NA,Colubridae,Heterodon,Heterodon nasicus,5223725
Reptiles,Phrynosoma,Greater Short-horned,1,Animalia,NA,NA,NA,NA,NA,NA,1
NA,hernandesi,Lizard,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reptiles,Plestiodon skiltonianus,Western Skink,5960558,Animalia,Chordata,Squamata,NA,Scincidae,Plestiodon,Plestiodon skiltonianus,5960558
Reptiles,Chelydra serpentina,Snapping Turtle,2441905,Animalia,Chordata,Testudines,NA,Chelydridae,Chelydra,Chelydra serpentina,2441905
Reptiles,Apalone spinifera,Spiny Softshell,2442680,Animalia,Chordata,Testudines,NA,Trionychidae,Apalone,Apalone spinifera,2442680
