taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
2435263,Lynx canadensis,Lynx,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
5218985,Mustela nigripes,Black- footed Ferret,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
4264444,Thomomys bottae rubidus,Botta's Pocket Gopher Subsp,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
4264516,Thomomys talpoides macrotis,Northern Pocket Gopher Subsp,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5219311,Vulpes macrotis,Kit Fox,Colorado,Colorado Natural Heritage Program,Colorado SE,SE,State T and E
5219290,Vulpes velox,Swift Fox,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
6163596,Zapus hudsonius preblei,Meadow Jumping Mouse Subsp,Colorado,Colorado Natural Heritage Program,Colorado ST,ST,State T and E
2291338,Acroloxus coloradensis,Rocky Mountain Capshell,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2288055,Anodontoides ferussacianus,Cylindrical Papershell,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2472453,Aspidoscelis neotesselatus,Colorado Checkered Whiptail,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
6157444,Crotalus oreganus concolor,Midget Faded Rattlesnake,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
8613410,Gambelia wislizenii,Long- nosed Leopard Lizard,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2442437,Kinosternon flavescens,Yellow Mud Turtle,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
7915678,Lampropeltis holbrooki,Speckled Kingsnake,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5222413,Phrynosoma cornutum,Texas Horned Lizard,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
5222463,Phrynosoma modestum,Round- tailed Horned Lizard,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
9502850,Rena dissecta,New Mexico Threadsnake,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
9454905,Sistrurus tergeminus,Western Massasauga,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
2457522,Thamnophis sirtalis,Common Garter Snake,Colorado,Colorado Natural Heritage Program,Colorado SC,SC,State T and E
