taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
2435263,Lynx Canadensis,Lynx,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6163598,Zapus hudsonius luteus,"New Mexico meadow jumping
mouse",Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2439561,Perognathus fasciatus,Olive-backed pocket mouse,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6163596,Zapus hudsonius preblei,Prebles meadow jumping mouse,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2432579,Euderma maculatum,Spotted bat,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
6163672,Corynorhinus townsendii pallescens,Townsend's big-eared bat ssp.,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2437233,Cynomys leucurus,White-tailed prairie dog,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
5219073,Gulo gulo,Wolverine,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2472453,Aspidoscelis neotesselata,Colorado checkered whiptail,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
9223124,Sistrurus catenatus,Massasauga,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 1,Tier 1,SWAP
2427610,Acris blanchardi,Blanchard’s cricket frog,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
10894420,Hyla arenicolor,Canyon tree frog,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2429795,Scaphiopus couchii,Couch's spadefoot,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2429791,Spea intermontana,Great Basin spadefoot,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2421773,Gastrophryne olivacea,Great Plains narrowmouth toad,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2422934,Anaxyrus debilis,Green toad,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2427062,Lithobates blairi,Plains leopard frog,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2427072,Lithobates sylvatica,Wood frog,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2480911,Botaurus lentiginosus,American bittern,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6177974,Falco peregrinus anatum,American peregrine falcon,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5229155,Pelecanus erythrorhynchos,American white pelican,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2480446,Haliaeetus leucocephalus,Bald eagle,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2495266,Patagioenas fasciata,Band-tailed pigeon,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2498325,Bucephala islandica,Barrow's goldeneye,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2494372,Leucosticte atrata,Black rosy-finch,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2477282,Cypseloides niger,Black swift,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2481119,Chlidonias niger,Black tern,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2484417,Dolichonyx oryzivorus,Bobolink,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5739298,Aegolius funereus,Boreal owl,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2492099,Spizella breweri,Brewer’s sparrow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6091692,Peucaea cassinii,Cassin’s finch,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6091692,Aimophila cassinii,Cassin’s sparrow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2491677,Calcarius ornatus,Chestnut-collared longspur,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2480566,Buteo regalis,Ferruginous hawk,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
7807178,Otus flammeolus,Flammulated owl,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
7341776,Setophaga graciae,Grace’s warbler,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2491123,Ammodramus savannarum,Grasshopper sparrow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2487411,Vireo vicinior,Gray vireo,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2473510,Tympanuchus cupido,Greater prairie-chicken,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2487898,Baeolophus ridgwayi,Juniper titmouse,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2491893,Calamospiza melanocorys,Lark bunting,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5230861,Passerina amoena,Lazuli bunting,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5789285,Sterna antillarum,Least tern,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2478142,Melanerpes lewis,Lewis’s woodpecker,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2492870,Lanius ludovicianus,Loggerhead shrike,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2481794,Numenius americanus,Long-billed curlew,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6093927,Rhynchophanes mccownii,McCown’s longspur,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6176045,Strix occidentalis lucida,Mexican spotted owl,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
9791464,Colinus virginianus,Northern bobwhite,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2480589,Accipiter gentilis,Northern goshawk,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2480487,Circus cyaneus,Northern harrier,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
