Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 R, Y, R, Y,  ,1650,S04,White-winged Scoter                     ,Northwestern Interior Forest            , Dh,13,-2.16,-9.714,6.322,0.286
 R, Y, R, Y,  ,1650,S05,White-winged Scoter                     ,Northern Pacific Rainforest             , Dh,5,-4.806,-14.44,4.496,0.255
 R, Y, R,  ,1,1650,S06,White-winged Scoter                     ,Boreal Taiga Plains                     , Dh,9,15.19,5.308,27.555,2.011
 R, R, R, Y,  ,1650,S10,White-winged Scoter                     ,Northern Rockies                        , Dh,2,-2.776,-15.383,9.947,0.274
 R, R, R, R,  ,1650,S11,White-winged Scoter                     ,Prairie Potholes                        , Dh,4,-5.647,-14.975,3.142,0.059
 R,  , R, Y,  ,1650,AK ,White-winged Scoter                     ,Alaska                                  , Dh,19,-0.717,-6.926,7.143,0.468
 R, Y, R, R,  ,1650,ALB,White-winged Scoter                     ,Alberta                                 , Dh,7,-5.259,-12.891,3.625,0.03
 R, R, R, Y,  ,1650,BC ,White-winged Scoter                     ,British Columbia                        , Dh,2,-2.776,-15.383,9.947,0.274
 R, Y, R,  ,1,1650,NWT,White-winged Scoter                     ,Northwest Territories                   , Dh,6,16.489,5.819,30.479,3.819
 R, Y, R, Y,  ,1650,YT ,White-winged Scoter                     ,Yukon                                   , Dh,5,0.313,-10.48,10.922,0.501
 R,  , R,  ,1,1650,CAN,White-winged Scoter                     ,Canada                                  , Dh,20,13.326,4.278,24.618,1.385
 R,  , R, Y,  ,1650,US ,White-winged Scoter                     ,United States                           , Dh,19,-0.717,-6.926,7.143,0.468
 R,  , R,  ,1,1650,SUR,White-winged Scoter                     ,Survey-wide                             , Dh,39,10.162,2.474,20.713,1.072
 R, Y, R, Y,  ,1650,CA1,White-winged Scoter                     ,Canada (core)                           , Dh,9,-3.583,-10.771,5.27,0.138
 R, Y, R, Y,  ,1650,SU1,White-winged Scoter                     ,Survey-wide (core)                      , Dh,9,-3.583,-10.771,5.27,0.138
 R, Y, R,  ,  ,1630,S02,Black Scoter                            ,Western Alaska                          , Dh,9,3.262,-4.342,14.989,7.346
 R, R, R, R,  ,1630,S04,Black Scoter                            ,Northwestern Interior Forest            , Dh,4,-3.634,-20.357,4.748,0.07
 R, Y, R,  ,  ,1630,AK ,Black Scoter                            ,Alaska                                  , Dh,13,2.343,-4.667,13.156,2.163
 R, Y, R,  ,  ,1630,US ,Black Scoter                            ,United States                           , Dh,13,2.343,-4.667,13.156,2.163
 R, Y, R,  ,  ,1630,SUR,Black Scoter                            ,Survey-wide                             , Dh,13,2.343,-4.667,13.156,2.163
 R, Y, R, Y,  ,1540,S02,Long-tailed Duck                        ,Western Alaska                          , Dh,5,-3.993,-10.567,1.415,0.488
 R, R, R,  ,  ,1540,S03,Long-tailed Duck                        ,Arctic Plains and Mountains             , Dh,4,2.012,-3.151,8.743,2.9
 R, Y, R, Y,2,1540,S04,Long-tailed Duck                        ,Northwestern Interior Forest            , Dh,6,-6.066,-12.867,-0.636,0.112
 R, R, R, Y,  ,1540,S06,Long-tailed Duck                        ,Boreal Taiga Plains                     , Dh,4,2.373,-3.505,9.645,0.67
 R,  , R, Y,  ,1540,AK ,Long-tailed Duck                        ,Alaska                                  , Dh,15,1.09,-3.431,7.108,0.871
 R, R, R, Y,  ,1540,NWT,Long-tailed Duck                        ,Northwest Territories                   , Dh,4,2.373,-3.505,9.645,0.67
 R, R, R, Y,  ,1540,CAN,Long-tailed Duck                        ,Canada                                  , Dh,4,2.373,-3.505,9.645,0.67
 R,  , R, Y,  ,1540,US ,Long-tailed Duck                        ,United States                           , Dh,15,1.09,-3.431,7.108,0.871
 Y,  , Y, Y,  ,1540,SUR,Long-tailed Duck                        ,Survey-wide                             , Dh,19,1.535,-2.555,6.899,0.858
 Y,  ,  , Y,  ,1530,S04,Bufflehead                              ,Northwestern Interior Forest            , Sh,47,0.607,-2.339,2.758,0.369
 Y,  ,  , Y,1,1530,S06,Bufflehead                              ,Boreal Taiga Plains                     , Sh,79,3.114,1.581,4.834,0.772
 Y, Y, Y, Y,  ,1530,S08,Bufflehead                              ,Boreal Softwood Shield                  , Sh,7,4.347,-0.069,8.072,0.11
 R,  ,  , R,1,1530,S09,Bufflehead                              ,Great Basin                             , Sh,28,2.81,0.895,4.551,0.086
 Y,  ,  , Y,1,1530,S10,Bufflehead                              ,Northern Rockies                        , Sh,45,3.791,1.599,5.678,0.176
 Y,  ,  , Y,1,1530,S11,Bufflehead                              ,Prairie Potholes                        , Sh,108,3.7,2.095,5.078,0.657
 R, R, Y, R,  ,1530,S15,Bufflehead                              ,Sierra Nevada                           , Sh,4,4.083,-0.025,9.845,0.038
 R, R, Y, R,  ,1530,S17,Bufflehead                              ,Badlands and Prairies                   , Sh,3,1.538,-2.896,5.676,0.02
 Y,  , Y, Y,  ,1530,AK ,Bufflehead                              ,Alaska                                  , Sh,26,-0.396,-3.766,2.51,0.409
  ,  ,  ,  ,1,1530,ALB,Bufflehead                              ,Alberta                                 , Sh,106,2.786,1.238,4.425,1.113
 Y,  ,  , Y,1,1530,BC ,Bufflehead                              ,British Columbia                        , Sh,33,3.332,1.284,5.576,0.251
 R, Y,  , R,1,1530,CAL,Bufflehead                              ,California                              , Sh,10,4.492,1.806,7.563,0.089
 R, Y, Y, R,  ,1530,IDA,Bufflehead                              ,Idaho                                   , Sh,7,2.572,-0.793,6.444,0.048
 Y,  , Y, Y,1,1530,MAN,Bufflehead                              ,Manitoba                                , Sh,25,4.745,1.148,7.68,0.265
 R, Y, Y, R,1,1530,MON,Bufflehead                              ,Montana                                 , Sh,11,5.456,1.569,8.099,0.092
 Y, Y, Y, Y,  ,1530,ND ,Bufflehead                              ,North Dakota                            , Sh,9,3.073,-0.383,6.519,0.172
 Y, Y, Y, Y,1,1530,NWT,Bufflehead                              ,Northwest Territories                   , Sh,5,4.375,0.022,8.621,0.258
 R, R, Y, R,  ,1530,ONT,Bufflehead                              ,Ontario                                 , Sh,3,3.486,-1.079,7.972,0.022
 Y, Y, Y, Y,  ,1530,ORE,Bufflehead                              ,Oregon                                  , Sh,8,1.349,-1.925,4.157,0.136
  ,  ,  ,  ,1,1530,SAS,Bufflehead                              ,Saskatchewan                            , Sh,48,3.357,1.403,5.754,1.065
 R, R, Y, R,  ,1530,WAS,Bufflehead                              ,Washington                              , Sh,4,2.945,-1.386,6.368,0.018
 R, Y, Y, R,  ,1530,WYO,Bufflehead                              ,Wyoming                                 , Sh,5,2.399,-2.463,5.454,0.014
 Y,  , Y, Y,  ,1530,YT ,Bufflehead                              ,Yukon                                   , Sh,18,1.823,-2.085,4.95,0.388
 Y,  ,  , Y,1,1530,CAN,Bufflehead                              ,Canada                                  , Sh,238,3.183,1.999,4.409,0.523
 Y,  ,  , Y,  ,1530,US ,Bufflehead                              ,United States                           , Sh,80,0.688,-2.109,2.913,0.22
 Y,  ,  , Y,1,1530,SUR,Bufflehead                              ,Survey-wide                             , Sh,318,2.695,1.582,3.796,0.416
 Y,  ,  , Y,1,1530,CA1,Bufflehead                              ,Canada (core)                           , Sh,215,3.218,2.079,4.527,0.594
 R,  ,  , R,1,1530,US1,Bufflehead                              ,United States (core)                    , Sh,54,3.654,1.888,5.258,0.083
 Y,  ,  , Y,1,1530,SU1,Bufflehead                              ,Survey-wide (core)                      , Sh,269,3.269,2.131,4.504,0.435
 Y, Y, Y, Y,  ,1510,S02,Common Goldeneye                        ,Western Alaska                          , Sh,6,0.61,-3.255,4.853,0.254
 Y,  ,  , Y,1,1510,S04,Common Goldeneye                        ,Northwestern Interior Forest            , Sh,33,3.067,0.215,5.987,0.228
 R, Y,  , R,  ,1510,S05,Common Goldeneye                        ,Northern Pacific Rainforest             , Sh,10,0.328,-2.496,3.142,0.044
 Y,  ,  , Y,1,1510,S06,Common Goldeneye                        ,Boreal Taiga Plains                     , Sh,89,1.621,0.158,3.368,0.412
 Y,  ,  , Y,  ,1510,S08,Common Goldeneye                        ,Boreal Softwood Shield                  , Sh,71,0.506,-1.302,3.01,0.345
 R, Y,  , R,  ,1510,S09,Common Goldeneye                        ,Great Basin                             , Sh,12,1.971,-0.828,5.171,0.049
 R,  ,  , R,  ,1510,S10,Common Goldeneye                        ,Northern Rockies                        , Sh,27,-0.587,-2.156,1.167,0.047
 R,  ,  , R,  ,1510,S11,Common Goldeneye                        ,Prairie Potholes                        , Sh,46,0.9,-1.429,2.78,0.075
 Y,  ,  , Y,  ,1510,S12,Common Goldeneye                        ,Boreal Hardwood Transition              , Sh,65,0.399,-1.032,1.984,0.173
 R, R,  , R,  ,1510,S13,Common Goldeneye                        ,Lower Great Lakes/ St. Lawrence Plain   , Sh,4,2.825,-0.37,5.512,0.033
 R,  ,  , R,  ,1510,S14,Common Goldeneye                        ,Atlantic Northern Forest                , Sh,28,-0.761,-1.994,1.387,0.055
 R, R, R, R,  ,1510,S17,Common Goldeneye                        ,Badlands and Prairies                   , Sh,1,-1.639,-6.615,3.977,0.008
 Y,  ,  , Y,1,1510,AK ,Common Goldeneye                        ,Alaska                                  , Sh,37,2.867,0.146,5.55,0.285
 Y,  ,  , Y,  ,1510,ALB,Common Goldeneye                        ,Alberta                                 , Sh,83,-0.245,-1.68,1.349,0.311
 R,  ,  , R,  ,1510,BC ,Common Goldeneye                        ,British Columbia                        , Sh,23,-0.75,-2.395,1.082,0.056
 Y,  ,  , Y,1,1510,MAN,Common Goldeneye                        ,Manitoba                                , Sh,30,2.364,0.3,4.611,0.493
 R, Y, Y, R,  ,1510,ME ,Common Goldeneye                        ,Maine                                   , Sh,8,-1.068,-6.545,2.525,0.031
 R, Y,  , R,  ,1510,MIN,Common Goldeneye                        ,Minnesota                               , Sh,11,2.668,-0.53,5.201,0.087
 R, Y,  , R,  ,1510,MON,Common Goldeneye                        ,Montana                                 , Sh,8,2.041,-0.798,4.758,0.026
 R, Y,  , R,  ,1510,NB ,Common Goldeneye                        ,New Brunswick                           , Sh,11,-0.141,-1.84,2.308,0.065
 Y, Y, Y, Y,  ,1510,NF ,Common Goldeneye                        ,Newfoundland                            , Sh,11,0.086,-3.418,3.315,0.102
 Y, Y, Y, Y,  ,1510,NWT,Common Goldeneye                        ,Northwest Territories                   , Sh,8,2.192,-1.968,6.454,0.145
 Y,  ,  , Y,  ,1510,ONT,Common Goldeneye                        ,Ontario                                 , Sh,61,-0.978,-2.65,0.842,0.318
 Y,  ,  , Y,  ,1510,QUE,Common Goldeneye                        ,Quebec                                  , Sh,55,0.956,-1.117,3.609,0.208
 Y,  , Y, Y,1,1510,SAS,Common Goldeneye                        ,Saskatchewan                            , Sh,30,2.834,0.34,6.604,0.397
 R, Y, Y, R,  ,1510,WAS,Common Goldeneye                        ,Washington                              , Sh,7,1.619,-1.523,5.666,0.028
 R, R, Y, R,  ,1510,WYO,Common Goldeneye                        ,Wyoming                                 , Sh,3,-0.545,-4.065,3.002,0.007
 R, Y, Y, R,  ,1510,YT ,Common Goldeneye                        ,Yukon                                   , Sh,6,-0.921,-4.454,2.786,0.04
 Y,  ,  , Y,1,1510,CAN,Common Goldeneye                        ,Canada                                  , Sh,318,0.989,0.044,2.127,0.239
 Y,  ,  , Y,1,1510,US ,Common Goldeneye                        ,United States                           , Sh,74,2.789,0.213,5.302,0.19
 Y,  ,  , Y,1,1510,SUR,Common Goldeneye                        ,Survey-wide                             , Sh,392,1.451,0.544,2.519,0.224
 Y,  ,  , Y,1,1510,CA1,Common Goldeneye                        ,Canada (core)                           , Sh,293,0.918,0.015,2.069,0.278
 R,  ,  , R,1,1510,US1,Common Goldeneye                        ,United States (core)                    , Sh,37,1.71,0.048,3.225,0.031
 Y,  ,  , Y,1,1510,SU1,Common Goldeneye                        ,Survey-wide (core)                      , Sh,330,0.934,0.059,2.068,0.236
 Y,  ,  , Y,  ,1520,S04,Barrow's Goldeneye                      ,Northwestern Interior Forest            , Dh,35,-0.656,-3.102,1.614,0.289
 R, Y,  , R,  ,1520,S05,Barrow's Goldeneye                      ,Northern Pacific Rainforest             , Dh,11,0.003,-2.823,3.026,0.088
 R, Y, Y, R,  ,1520,S06,Barrow's Goldeneye                      ,Boreal Taiga Plains                     , Dh,5,0.564,-3.06,5.551,0.071
 Y,  ,  , Y,  ,1520,S09,Barrow's Goldeneye                      ,Great Basin                             , Dh,27,-1.435,-4.086,0.889,0.15
 Y,  ,  , Y,2,1520,S10,Barrow's Goldeneye                      ,Northern Rockies                        , Dh,51,-2.998,-6.24,-0.268,0.303
 Y,  , Y, Y,  ,1520,AK ,Barrow's Goldeneye                      ,Alaska                                  , Dh,22,-1.486,-4.709,1.306,0.19
 R, Y, Y, R,  ,1520,ALB,Barrow's Goldeneye                      ,Alberta                                 , Dh,12,-2.937,-7.096,0.142,0.081
 Y,  , Y, Y,  ,1520,BC ,Barrow's Goldeneye                      ,British Columbia                        , Dh,45,-2.965,-6.465,0.013,0.325
 R, R, Y, R,  ,1520,IDA,Barrow's Goldeneye                      ,Idaho                                   , Dh,2,-0.295,-5.937,3.946,0.048
 R, Y, Y, R,  ,1520,MON,Barrow's Goldeneye                      ,Montana                                 , Dh,6,0.308,-3.649,5.134,0.047
 R, R, Y, Y,  ,1520,NWT,Barrow's Goldeneye                      ,Northwest Territories                   , Dh,3,0.764,-3.323,6.198,0.121
 R, Y,  , R,  ,1520,WAS,Barrow's Goldeneye                      ,Washington                              , Dh,9,-0.162,-3.023,2.717,0.071
 Y, Y, Y, Y,  ,1520,WYO,Barrow's Goldeneye                      ,Wyoming                                 , Dh,11,-1.936,-5.752,0.911,0.116
 Y,  , Y, Y,  ,1520,YT ,Barrow's Goldeneye                      ,Yukon                                   , Dh,16,-0.271,-3.892,3.259,0.36
 Y,  ,  , Y,  ,1520,CAN,Barrow's Goldeneye                      ,Canada                                  , Dh,76,-1.31,-3.554,0.891,0.237
 Y,  ,  , Y,  ,1520,US ,Barrow's Goldeneye                      ,United States                           , Dh,50,-1.272,-3.725,0.872,0.149
 Y,  ,  , Y,  ,1520,SUR,Barrow's Goldeneye                      ,Survey-wide                             , Dh,126,-1.287,-3.142,0.426,0.202
 Y,  ,  , Y,2,1520,CA1,Barrow's Goldeneye                      ,Canada (core)                           , Dh,57,-2.915,-6.023,-0.306,0.222
 R,  ,  , R,  ,1520,US1,Barrow's Goldeneye                      ,United States (core)                    , Dh,28,-0.736,-2.921,1.255,0.079
 Y,  ,  , Y,2,1520,SU1,Barrow's Goldeneye                      ,Survey-wide (core)                      , Dh,85,-2.534,-5.131,-0.313,0.176
 R,  ,  , R,1,1310,S05,Hooded Merganser                        ,Northern Pacific Rainforest             , Sh,32,3.402,0.708,5.933,0.041
 R,  , Y, R,1,1310,S06,Hooded Merganser                        ,Boreal Taiga Plains                     , Sh,15,4.583,1.646,7.681,0.015
 R, Y, Y, R,1,1310,S08,Hooded Merganser                        ,Boreal Softwood Shield                  , Sh,11,5.289,2.532,8.544,0.037
 R, Y, Y, R,1,1310,S09,Hooded Merganser                        ,Great Basin                             , Sh,12,4.451,1.281,7.648,0.022
 R,  ,  , R,1,1310,S10,Hooded Merganser                        ,Northern Rockies                        , Sh,29,3.569,0.785,6.356,0.025
 R,  ,  , R,1,1310,S11,Hooded Merganser                        ,Prairie Potholes                        , Sh,69,7.353,5.545,9.733,0.043
 R,  ,  , R,1,1310,S12,Hooded Merganser                        ,Boreal Hardwood Transition              , Sh,117,3.75,1.87,5.405,0.085
 R,  ,  , R,1,1310,S13,Hooded Merganser                        ,Lower Great Lakes/ St. Lawrence Plain   , Sh,33,5.547,3.351,7.886,0.034
 R,  ,  , R,1,1310,S14,Hooded Merganser                        ,Atlantic Northern Forest                , Sh,75,5.776,4.112,7.554,0.036
 R, R, Y, R,1,1310,S19,Hooded Merganser                        ,Central Mixed Grass Prairie             , Sh,3,4.848,0.336,9.372,0.007
 R,  , Y, R,1,1310,S22,Hooded Merganser                        ,Eastern Tallgrass Prairie               , Sh,19,5.476,2.567,8.758,0.02
 R,  ,  , R,1,1310,S23,Hooded Merganser                        ,Prairie Hardwood Transition             , Sh,38,4.763,2.625,7.047,0.066
 R, R, Y, R,1,1310,S24,Hooded Merganser                        ,Central Hardwoods                       , Sh,2,4.115,0.106,8.388,0.008
 R,  ,  , R,1,1310,S28,Hooded Merganser                        ,Appalachian Mountains                   , Sh,24,5.053,2.402,7.786,0.018
 R,  ,  , R,1,1310,S30,Hooded Merganser                        ,New England/mid-atlantic Coast          , Sh,14,3.911,1.602,6.265,0.025
 R, R, Y, R,  ,1310,AK ,Hooded Merganser                        ,Alaska                                  , Sh,3,3.662,-1.459,8.096,0.008
 R,  ,  , R,1,1310,ALB,Hooded Merganser                        ,Alberta                                 , Sh,16,4.366,1.742,7.337,0.01
 R,  ,  , R,1,1310,BC ,Hooded Merganser                        ,British Columbia                        , Sh,36,3.276,0.949,5.637,0.05
 R, R, Y, R,  ,1310,CON,Hooded Merganser                        ,Connecticut                             , Sh,4,3.237,-0.518,7.017,0.034
 R, Y, Y, R,1,1310,IA ,Hooded Merganser                        ,Iowa                                    , Sh,6,4.731,1.298,8.461,0.022
 R,  , Y, R,1,1310,ILL,Hooded Merganser                        ,Illinois                                , Sh,15,5.881,2.258,10,0.018
 R, R, Y, R,1,1310,KY ,Hooded Merganser                        ,Kentucky                                , Sh,2,4.115,0.106,8.388,0.008
 R,  ,  , R,1,1310,MAN,Hooded Merganser                        ,Manitoba                                , Sh,28,5.339,2.789,8.089,0.054
 R, Y, Y, R,1,1310,MAS,Hooded Merganser                        ,Massachusetts                           , Sh,8,5.678,2.52,8.891,0.029
 R, R, Y, R,1,1310,MD ,Hooded Merganser                        ,Maryland                                , Sh,3,4.563,0.016,8.695,0.007
 R,  , Y, R,1,1310,ME ,Hooded Merganser                        ,Maine                                   , Sh,25,6.866,3.397,10.488,0.047
 R,  ,  , R,1,1310,MIC,Hooded Merganser                        ,Michigan                                , Sh,24,5.082,2.244,7.94,0.032
 R,  ,  , R,1,1310,MIN,Hooded Merganser                        ,Minnesota                               , Sh,42,5.061,3.059,7.225,0.081
 R, R, Y, R,1,1310,MON,Hooded Merganser                        ,Montana                                 , Sh,4,4.745,0.815,8.958,0.011
 R, Y, Y, R,1,1310,NB ,Hooded Merganser                        ,New Brunswick                           , Sh,9,5.588,1.822,9.285,0.021
 Y,  , Y, Y,1,1310,ND ,Hooded Merganser                        ,North Dakota                            , Sh,18,9.025,5.913,13.049,0.121
 R, R, Y, R,1,1310,NEB,Hooded Merganser                        ,Nebraska                                , Sh,3,4.848,0.336,9.372,0.007
 R,  ,  , R,1,1310,NH ,Hooded Merganser                        ,New Hampshire                           , Sh,16,4.179,1.646,7.024,0.094
 R, Y, Y, R,1,1310,NS ,Hooded Merganser                        ,Nova Scotia                             , Sh,6,6.664,2.694,10.718,0.033
 R,  ,  , R,1,1310,NY ,Hooded Merganser                        ,New York                                , Sh,29,4.404,2.222,6.683,0.031
 R,  ,  , R,1,1310,ONT,Hooded Merganser                        ,Ontario                                 , Sh,66,4.162,1.73,6.336,0.059
 R, Y, Y, R,  ,1310,ORE,Hooded Merganser                        ,Oregon                                  , Sh,6,2.208,-1.451,6.167,0.014
 R,  ,  , R,1,1310,PA ,Hooded Merganser                        ,Pennsylvania                            , Sh,17,5.253,2.384,8.252,0.018
 R,  , Y, R,1,1310,QUE,Hooded Merganser                        ,Quebec                                  , Sh,19,5.302,2.229,8.838,0.037
 R, Y, Y, R,1,1310,SAS,Hooded Merganser                        ,Saskatchewan                            , Sh,7,5.061,0.655,9.437,0.011
 R, Y, Y, R,1,1310,SD ,Hooded Merganser                        ,South Dakota                            , Sh,6,5.071,0.937,9.116,0.03
 R, Y, Y, R,1,1310,VT ,Hooded Merganser                        ,Vermont                                 , Sh,8,5.616,2.329,9.516,0.046
 R,  ,  , R,1,1310,WAS,Hooded Merganser                        ,Washington                              , Sh,18,4.224,1.667,6.968,0.027
 R,  ,  , R,1,1310,WIS,Hooded Merganser                        ,Wisconsin                               , Sh,46,3.319,1.2,5.325,0.084
 R, R, Y, R,1,1310,WYO,Hooded Merganser                        ,Wyoming                                 , Sh,3,5.131,0.858,9.708,0.004
 R,  ,  , R,1,1310,CAN,Hooded Merganser                        ,Canada                                  , Sh,187,4.363,3.003,5.666,0.04
 R,  ,  , R,1,1310,US ,Hooded Merganser                        ,United States                           , Sh,306,5.636,4.621,6.957,0.037
 R,  ,  , R,1,1310,SUR,Hooded Merganser                        ,Survey-wide                             , Sh,493,4.903,3.925,5.922,0.039
 R,  ,  , R,1,1310,CA1,Hooded Merganser                        ,Canada (core)                           , Sh,187,4.363,3.003,5.666,0.04
 R,  ,  , R,1,1310,US1,Hooded Merganser                        ,United States (core)                    , Sh,303,5.664,4.644,6.998,0.039
 R,  ,  , R,1,1310,SU1,Hooded Merganser                        ,Survey-wide (core)                      , Sh,490,4.909,3.927,5.93,0.04
 Y, Y, Y, Y,  ,1290,S02,Common Merganser                        ,Western Alaska                          , Dh,9,0.67,-3.745,5.651,0.277
 R,  , Y, R,  ,1290,S04,Common Merganser                        ,Northwestern Interior Forest            , Dh,25,1.209,-1.69,4.517,0.078
 Y,  ,  , Y,2,1290,S05,Common Merganser                        ,Northern Pacific Rainforest             , Dh,112,-2.269,-3.977,-0.68,0.702
 Y,  ,  , Y,  ,1290,S06,Common Merganser                        ,Boreal Taiga Plains                     , Dh,33,1.106,-1.351,3.887,0.119
 Y,  ,  , Y,  ,1290,S08,Common Merganser                        ,Boreal Softwood Shield                  , Dh,61,-0.657,-3.137,1.755,0.22
 Y,  ,  , Y,  ,1290,S09,Common Merganser                        ,Great Basin                             , Dh,68,-1.062,-2.952,0.936,0.107
 Y,  ,  , Y,2,1290,S10,Common Merganser                        ,Northern Rockies                        , Dh,132,-2.279,-3.815,-0.799,0.407
 R,  , Y, R,  ,1290,S11,Common Merganser                        ,Prairie Potholes                        , Dh,15,-1.527,-5.406,2.187,0.014
 Y,  ,  , Y,  ,1290,S12,Common Merganser                        ,Boreal Hardwood Transition              , Dh,146,-1.056,-2.859,0.723,0.216
 R,  ,  , R,  ,1290,S13,Common Merganser                        ,Lower Great Lakes/ St. Lawrence Plain   , Dh,38,2.181,-0.24,4.947,0.079
 Y,  ,  , Y,  ,1290,S14,Common Merganser                        ,Atlantic Northern Forest                , Dh,141,0.963,-0.542,2.571,0.215
 Y,  , Y, Y,  ,1290,S15,Common Merganser                        ,Sierra Nevada                           , Dh,16,2.982,-0.38,6.799,0.11
 Y,  ,  , Y,  ,1290,S16,Common Merganser                        ,Southern Rockies/colorado Plateau       , Dh,48,0.322,-2.08,2.804,0.181
 R,  , Y, R,  ,1290,S17,Common Merganser                        ,Badlands and Prairies                   , Dh,16,-0.375,-3.586,2.861,0.056
 R, R, R, R,  ,1290,S23,Common Merganser                        ,Prairie Hardwood Transition             , Dh,3,-1.512,-6.93,3.119,0.008
 Y,  ,  , Y,1,1290,S28,Common Merganser                        ,Appalachian Mountains                   , Dh,79,4.401,2.39,6.535,0.124
 R, R, R, R,  ,1290,S29,Common Merganser                        ,Piedmont                                , Dh,4,0.388,-5.731,6.407,0.098
 R, Y, R, R,  ,1290,S30,Common Merganser                        ,New England/mid-atlantic Coast          , Dh,5,1.377,-3.55,7.194,0.094
 R,  , Y, R,  ,1290,S32,Common Merganser                        ,Coastal California                      , Dh,19,0.83,-2.419,4.081,0.096
 Y,  ,  , Y,  ,1290,AK ,Common Merganser                        ,Alaska                                  , Dh,43,-0.965,-3.275,1.389,0.255
 R,  ,  , R,  ,1290,ALB,Common Merganser                        ,Alberta                                 , Dh,35,-0.321,-2.752,2.301,0.099
 Y,  ,  , Y,2,1290,BC ,Common Merganser                        ,British Columbia                        , Dh,75,-2.76,-5.01,-0.654,0.371
 Y,  ,  , Y,  ,1290,CAL,Common Merganser                        ,California                              , Dh,58,1.11,-1.037,3.36,0.251
 Y,  ,  , Y,  ,1290,COL,Common Merganser                        ,Colorado                                , Dh,39,0.193,-2.416,2.894,0.327
 R, Y, R, R,  ,1290,CON,Common Merganser                        ,Connecticut                             , Dh,5,1.377,-3.55,7.194,0.094
 Y,  , Y, Y,2,1290,IDA,Common Merganser                        ,Idaho                                   , Dh,27,-5.505,-8.66,-2.51,0.507
 Y,  , Y, Y,  ,1290,MAN,Common Merganser                        ,Manitoba                                , Dh,24,-1.815,-4.895,1.219,0.403
 R, R, R, Y,  ,1290,MAS,Common Merganser                        ,Massachusetts                           , Dh,4,1.946,-3.245,7.674,0.155
 Y,  , Y, Y,  ,1290,ME ,Common Merganser                        ,Maine                                   , Dh,34,0.264,-2.944,3.425,0.118
 R,  , Y, R,  ,1290,MIC,Common Merganser                        ,Michigan                                , Dh,19,0.226,-4.101,4.16,0.053
 R,  , Y, R,  ,1290,MIN,Common Merganser                        ,Minnesota                               , Dh,18,-0.095,-4.162,3.836,0.099
 Y,  ,  , Y,  ,1290,MON,Common Merganser                        ,Montana                                 , Dh,35,0.149,-2.415,2.767,0.263
 Y,  , Y, Y,  ,1290,NB ,Common Merganser                        ,New Brunswick                           , Dh,23,-0.349,-3.636,2.813,0.208
 R, Y, R, R,  ,1290,NEV,Common Merganser                        ,Nevada                                  , Dh,5,0.431,-5.015,5.954,0.027
 Y,  , Y, Y,  ,1290,NF ,Common Merganser                        ,Newfoundland                            , Dh,14,-0.409,-4.748,3.741,0.111
 Y, Y, Y, Y,1,1290,NH ,Common Merganser                        ,New Hampshire                           , Dh,12,4.239,0.453,8.183,0.306
 R, R, R, R,  ,1290,NJ ,Common Merganser                        ,New Jersey                              , Dh,4,0.388,-5.731,6.407,0.098
 Y,  , Y, Y,  ,1290,NS ,Common Merganser                        ,Nova Scotia                             , Dh,19,-0.458,-4.102,2.855,0.142
 Y,  ,  , Y,1,1290,NY ,Common Merganser                        ,New York                                , Dh,53,2.642,0.147,5.221,0.176
 Y,  ,  , Y,  ,1290,ONT,Common Merganser                        ,Ontario                                 , Dh,88,1.168,-1.208,3.711,0.254
 Y,  ,  , Y,  ,1290,ORE,Common Merganser                        ,Oregon                                  , Dh,53,-2.044,-4.275,0.279,0.16
 Y,  ,  , Y,1,1290,PA ,Common Merganser                        ,Pennsylvania                            , Dh,44,3.506,0.775,6.217,0.173
 Y,  ,  , Y,  ,1290,QUE,Common Merganser                        ,Quebec                                  , Dh,79,-0.521,-3.058,1.974,0.166
 R, Y, Y, R,  ,1290,SAS,Common Merganser                        ,Saskatchewan                            , Dh,9,0.701,-3.711,5.823,0.051
 R, Y, R, R,  ,1290,UT ,Common Merganser                        ,Utah                                    , Dh,5,1.9,-2.915,8.11,0.019
 R, R, R, R,  ,1290,VA ,Common Merganser                        ,Virginia                                , Dh,3,1.371,-3.795,7.458,0.011
 Y,  , Y, Y,  ,1290,VT ,Common Merganser                        ,Vermont                                 , Dh,17,2.991,-0.24,6.373,0.26
 Y,  ,  , Y,  ,1290,WAS,Common Merganser                        ,Washington                              , Dh,42,1.294,-0.713,3.425,0.301
 R,  , Y, R,  ,1290,WIS,Common Merganser                        ,Wisconsin                               , Dh,18,-0.637,-4.2,2.819,0.031
 R, Y, R, R,1,1290,WV ,Common Merganser                        ,West Virginia                           , Dh,12,6.886,1.623,14.079,0.012
 Y,  ,  , Y,  ,1290,WYO,Common Merganser                        ,Wyoming                                 , Dh,45,0.49,-1.851,3.022,0.205
 R, Y, Y, R,  ,1290,YT ,Common Merganser                        ,Yukon                                   , Dh,9,-1.556,-6.03,2.756,0.075
 Y,  ,  , Y,  ,1290,CAN,Common Merganser                        ,Canada                                  , Dh,375,-0.956,-2.115,0.205,0.206
 Y,  ,  , Y,  ,1290,US ,Common Merganser                        ,United States                           , Dh,595,-0.779,-1.803,0.267,0.22
